,index,acc,val_acc,loss,val_loss
162,62,0.8119479417800903,0.7122671604156494,0.39424625039100647,0.5889180302619934
163,63,0.8092179298400879,0.7983301281929016,0.3919941782951355,0.40850138664245605
164,64,0.8135538697242737,0.6955683827400208,0.3899884521961212,0.6191555261611938
165,65,0.8159627318382263,0.702633261680603,0.3873632848262787,0.5372962951660156
166,66,0.814356803894043,0.747591495513916,0.3859149217605591,0.5058910846710205
167,67,0.8149992227554321,0.7925497889518738,0.38429906964302063,0.44261834025382996
168,68,0.8135538697242737,0.7360308170318604,0.38528358936309814,0.4932386577129364
169,69,0.8108238577842712,0.7135517001152039,0.3890325725078583,0.5404743552207947
170,70,0.81210857629776,0.8522800207138062,0.38622385263442993,0.36858507990837097
171,71,0.8201380968093872,0.8542068004608154,0.38010889291763306,0.4167462885379791
172,72,0.8114662170410156,0.7231855988502502,0.38428762555122375,0.5722038745880127
173,73,0.8132327198982239,0.799614667892456,0.3841369152069092,0.465853214263916
174,74,0.8141962289810181,0.7912652492523193,0.39079123735427856,0.44404706358909607
175,75,0.8198169469833374,0.7180474996566772,0.3810068666934967,0.5187590718269348
176,76,0.8180504441261292,0.8413615822792053,0.38100719451904297,0.4417770206928253
177,77,0.8180504441261292,0.8150289058685303,0.38375380635261536,0.44751861691474915
178,78,0.8198169469833374,0.7668593525886536,0.3787175416946411,0.4849087595939636
179,79,0.8141962289810181,0.7964033484458923,0.3874562680721283,0.42437344789505005
180,80,0.8149992227554321,0.8599871397018433,0.3833041787147522,0.37451183795928955
181,81,0.8164445161819458,0.7514451146125793,0.37497013807296753,0.49304911494255066
182,82,0.8169263005256653,0.7585099339485168,0.38175690174102783,0.5248646140098572
183,83,0.8159627318382263,0.8715478777885437,0.3766796588897705,0.4086274206638336
184,84,0.8194957375526428,0.7976878881454468,0.38145098090171814,0.42821478843688965
185,85,0.8199775218963623,0.8201670050621033,0.376496821641922,0.4146237373352051
186,86,0.8194957375526428,0.7360308170318604,0.3822390139102936,0.5543080568313599
187,87,0.8223863840103149,0.7919074892997742,0.37604251503944397,0.47850853204727173
188,88,0.8135538697242737,0.771355152130127,0.3866395056247711,0.478969931602478
189,89,0.818371593952179,0.8098908066749573,0.38022711873054504,0.42202627658843994
190,90,0.8207804560661316,0.752729594707489,0.37564682960510254,0.507419764995575
191,91,0.8227075934410095,0.7732819318771362,0.38009920716285706,0.47320011258125305
192,92,0.8225469589233398,0.863198459148407,0.3753223121166229,0.3895150125026703
193,93,0.8235105276107788,0.7675015926361084,0.3755117654800415,0.4591536819934845
194,94,0.821422815322876,0.7013487219810486,0.3775320053100586,0.5723623633384705
195,95,0.8156415820121765,0.7321772575378418,0.3821117579936981,0.5085740685462952
196,96,0.824474036693573,0.7045600414276123,0.3759194016456604,0.5389087200164795
197,97,0.8211016654968262,0.7180474996566772,0.37576422095298767,0.5578975677490234
198,98,0.8204593062400818,0.8137443661689758,0.3773197829723358,0.4259517192840576
