,i_round,accuracy_keras_train,accuracy_keras_test,precision_keras_test,recall_keras_test,f1_keras_test
0,0,0.8081963001027749,0.8493150684931506,0.46296296296296297,0.16666666666666666,0.24509803921568626
1,1,0.822327852004111,0.8512720156555773,0.4074074074074074,0.15492957746478872,0.22448979591836735
2,2,0.8287512846865365,0.8532289628180039,0.4444444444444444,0.16666666666666666,0.24242424242424243
3,3,0.8322199383350463,0.87573385518591,0.46296296296296297,0.2032520325203252,0.28248587570621475
4,4,0.8440390544707091,0.8590998043052838,0.46296296296296297,0.17857142857142858,0.2577319587628866
